3x3x3;11.289;F' B U' B' D F' R' L B R D2 R2 D' R' D2 B2 R2 B' L' D R2 B R' U D ;null;
3x3x3;18.127;B2 R2 D' B U L' F2 D' B' U B L2 F2 B R2 L' F R U2 R2 U' F' B R2 L' ;null;
3x3x3;12.549;U' D' L U2 R U2 R B U2 F D' B2 L' B' D2 B2 L2 U2 D L U' B F2 D2 L ;null;
3x3x3;15.149;U L F R' B L D2 F B D' F' U F2 B' U2 F' U' R F B2 U' D2 F' R2 B ;null;
3x3x3;17.076;F2 R2 F' B D' R F' L' F U' L' B2 D2 R' U F2 R' D' R D2 R2 U R2 B' U2 ;null;
3x3x3;14.424;F U' F' U2 R L' B' D F2 L2 U2 F2 R' B U2 L2 D2 L R U2 L U' R2 U R' ;null;
3x3x3;12.210;L2 F' U2 R' U' B2 R D' U' F B2 R D2 U L F2 U L2 F B2 U B2 U' F' L2 ;null;
3x3x3;14.872;B' U D' R2 L2 D R' B' U F2 U2 F L' U' B' F' R' U2 R2 L D' U2 R' U2 R ;null;
3x3x3;14.763;D' R' B F D R F2 L2 F2 D F' B R' D' U2 R B' F U F U' B' L2 B' D ;null;
3x3x3;13.875;L D F R2 L' D R2 U' R2 D U L U2 R2 L' D2 L U D' L2 U F' D' F2 B ;null;
3x3x3;14.360;D2 L' F2 B L' U2 L2 F2 B U2 B2 L R2 B' L' D2 L' B' D' F2 U2 B2 F R U' ;null;
3x3x3;13.499;D2 L' R2 D' R' U2 D R2 F R2 B2 F' D' R2 F' U' F2 B D U' L' B' L D2 L' ;null;
3x3x3;14.893;F2 B2 U2 L' D' F' D2 R2 B U2 F D2 R L B U B' F R L2 F2 D U' L2 B ;null;
3x3x3;26.740;B' L' U B R' U' D' F D2 F R' U D R L2 B' U F2 U2 D2 R2 U' R F' D ;POP :(;
3x3x3;14.304;R' L' B2 F' R D2 L2 U' R' B' U' D2 F2 L2 F2 L2 U' B' D' L' F U F R2 B ;null;
3x3x3;14.444;R' B U2 R F L2 D2 U L2 F B' R2 L' F2 U D2 L B' R2 D2 U' L F2 D' F' ;null;
